Candidate	Party	Rank	Gender	Norwegian	Ethnicity	Birth Year	Priority	County	Code	Municipality
Rieber-Mohn Libe 	AP	1	Female	Norsk		1965	Yes	Oslo	0301	Oslo
Gerhardsen Rune	AP	2	Male	Norsk		1946	Yes	Oslo	0301	Oslo
Hansen Rina Mariann	AP	3	Female	Norsk		1977	Yes	Oslo	0301	Oslo
Halse Andreas	AP	4	Male	Norsk		1977	Yes	Oslo	0301	Oslo
Dahl Tone Tellevik	AP	5	Female	Norsk		1970	Yes	Oslo	0301	Oslo
Alsabeehg Abdullah	AP	6	Male	Non	Arabic	1986	Yes	Oslo	0301	Oslo
Thorvik Bettina	AP	7	Female	Norsk		1972	Yes	Oslo	0301	Oslo
Røberg-Larsen Anders 	AP	8	Male	Norsk		1978	Yes	Oslo	0301	Oslo
Bachke Nina	AP	9	Female	Non	Indian	1974	Yes	Oslo	0301	Oslo
Butt Nadeem 	AP	10	Male	Non	Arabic	1959	Yes	Oslo	0301	Oslo
Gunaratnam Khamshajiny	AP	11	Female	Non	Indian	1988	No	Oslo	0301	Oslo
Lundberg Bjørn A. 	AP	12	Male	Norsk		1942	No	Oslo	0301	Oslo
Leiner Katinka Greve	AP	13	Female	Norsk		1967	No	Oslo	0301	Oslo
Stenersen Dag Harlem	AP	14	Male	Norsk		1977	No	Oslo	0301	Oslo
Berger Anne Cathrine	AP	15	Female	Norsk		1972	No	Oslo	0301	Oslo
Nwosu Elvis Chi 	AP	16	Male	Non	Nigerian	1965	No	Oslo	0301	Oslo
Evensen Victoria Marie	AP	17	Female	Norsk		1980	No	Oslo	0301	Oslo
Mellem Fredrik 	AP	18	Male	Norsk		1969	No	Oslo	0301	Oslo
Haugdal Grete 	AP	19	Female	Norsk		1971	No	Oslo	0301	Oslo
Tønsberg Olav 	AP	20	Male	Norsk		1948	No	Oslo	0301	Oslo
Storvik Channeh Joof	AP	21	Female	Norsk		1966	No	Oslo	0301	Oslo
Lillehagen Hans Christian	AP	22	Male	Norsk		1970	No	Oslo	0301	Oslo
Kaur Prableen	AP	23	Female	Non	Indian	1993	No	Oslo	0301	Oslo
Vederhus Håvard	AP	24	Male	Norsk		1989	No	Oslo	0301	Oslo
Jamholt Gro Bratteli	AP	25	Female	Norsk		1976	No	Oslo	0301	Oslo
Christiansen Ivar	AP	26	Male	Norsk		1949	No	Oslo	0301	Oslo
Lødrup Julie	AP	27	Female	Norsk		1983	No	Oslo	0301	Oslo
Langerød Per Anders 	AP	28	Male	Norsk		1985	No	Oslo	0301	Oslo
Hellum Karina	AP	29	Female	Norsk		1961	No	Oslo	0301	Oslo
Nygren Jørn	AP	30	Male	Norsk		1964	No	Oslo	0301	Oslo
Al-Samarai Zaineb	AP	31	Female	Non	Arabic	1987	No	Oslo	0301	Oslo
Ahmed Nasir 	AP	32	Male	Non	Arabic	1983	No	Oslo	0301	Oslo
Staalesen Siri Gåsemyr	AP	33	Female	Norsk		1973	No	Oslo	0301	Oslo
Kristiansen Jørn	AP	34	Male	Norsk		1966	No	Oslo	0301	Oslo
Fossheim Siri 	AP	35	Female	Norsk		1973	No	Oslo	0301	Oslo
Haugli Håkon	AP	36	Male	Norsk		1969	No	Oslo	0301	Oslo
Larsen Ida Viksveen	AP	37	Female	Norsk		1982	No	Oslo	0301	Oslo
Mosbakk Kurt 	AP	38	Male	Norsk		1934	No	Oslo	0301	Oslo
Johnsen Trude	AP	39	Female	Norsk		1968	No	Oslo	0301	Oslo
Fahimpor Saleh	AP	40	Male	Non	Arabic	1975	No	Oslo	0301	Oslo
Mattsson Monica 	AP	41	Female	Norsk		1970	No	Oslo	0301	Oslo
Rashid Nawaz	AP	42	Male	Non	Arabic	1973	No	Oslo	0301	Oslo
Holm Pia Gjesme	AP	43	Female	Norsk		1973	No	Oslo	0301	Oslo
Dahl Per Gunnar 	AP	44	Male	Norsk		1963	No	Oslo	0301	Oslo
Jørgensen Susann S	AP	45	Female	Norsk		1972	No	Oslo	0301	Oslo
Hansen Bjørn	AP	46	Male	Norsk		1946	No	Oslo	0301	Oslo
Madar Fatima Ali	AP	47	Female	Non	Arabic	1974	No	Oslo	0301	Oslo
Dugstad Erik 	AP	48	Male	Norsk		1973	No	Oslo	0301	Oslo
Abduqadir Ubah 	AP	49	Female	Non	Arabic	1968	No	Oslo	0301	Oslo
Hedemann Knut	AP	50	Male	Norsk		1940	No	Oslo	0301	Oslo
Wolasmal Ayesha 	AP	51	Female	Non	Arabic	1987	No	Oslo	0301	Oslo
Vestre Jan Christian	AP	52	Male	Norsk		1986	No	Oslo	0301	Oslo
Hansgaard Wenche 	AP	53	Female	Norsk		1943	No	Oslo	0301	Oslo
Holst Henrik 	AP	54	Male	Norsk		1984	No	Oslo	0301	Oslo
Kvanvig Gerd	AP	55	Female	Norsk		1965	No	Oslo	0301	Oslo
Hausken Peter	AP	56	Male	Norsk		1959	No	Oslo	0301	Oslo
Jørgensen Carina Vestli	AP	57	Female	Norsk		1978	No	Oslo	0301	Oslo
Musse Bashe 	AP	58	Male	Norsk		1965	No	Oslo	0301	Oslo
Bjerke Marit Johanne	AP	59	Female	Norsk		1972	No	Oslo	0301	Oslo
Hovland Henrik	AP	60	Male	Norsk		1965	No	Oslo	0301	Oslo
Darian Roja	AP	61	Female	Non	Spanish	1983	No	Oslo	0301	Oslo
Holm Asbjørn	AP	62	Male	Norsk		1941	No	Oslo	0301	Oslo
Nyeggen Anne	AP	63	Female	Norsk		1964	No	Oslo	0301	Oslo
Nordby Jarle	AP	64	Male	Norsk		1962	No	Oslo	0301	Oslo
Mahmood Khalid 	AP	65	Male	Non	Arabic	1959	No	Oslo	0301	Oslo
Eriksen Kåre 	DEMN	1	Male	Norsk		1938	No	Oslo	0301	Oslo
Brekke Helene 	DEMN	2	Female	Norsk		1935	No	Oslo	0301	Oslo
Johnsen Bente	DEMN	3	Female	Norsk		1951	No	Oslo	0301	Oslo
Aronsen Torhild 	DEMN	4	Female	Norsk		1956	No	Oslo	0301	Oslo
Døvre Anders 	DEMN	5	Male	Norsk		1976	No	Oslo	0301	Oslo
Westin Vårunn Fossheim	DEMN	6	Female	Norsk		1955	No	Oslo	0301	Oslo
Aker Stein	DEMN	7	Male	Norsk		1941	No	Oslo	0301	Oslo
Bergersen Ann Bente	DEMN	8	Female	Norsk		1957	No	Oslo	0301	Oslo
Bjørkli Mads	DEMN	9	Male	Norsk		1976	No	Oslo	0301	Oslo
Brubakken Tonje 	DEMN	10	Female	Norsk		1973	No	Oslo	0301	Oslo
Larsen Tom Rune	DEMN	11	Male	Norsk		1967	No	Oslo	0301	Oslo
Dahlen Per Olaf	DEMN	12	Male	Norsk		1963	No	Oslo	0301	Oslo
Gaup Øifryd Sandra	DEMN	13	Female	Norsk		1954	No	Oslo	0301	Oslo
Kullerud Lars K. 	DEMN	14	Male	Norsk		1992	No	Oslo	0301	Oslo
Jahnsen Jan Ø.	DEMN	15	Male	Norsk		1943	No	Oslo	0301	Oslo
Johansen Per-Erik 	DEMN	16	Male	Norsk		1931	No	Oslo	0301	Oslo
Meringen Bård 	DEMN	17	Male	Norsk		1982	No	Oslo	0301	Oslo
Nyhagen Willy  	DEMN	18	Male	Norsk		1939	No	Oslo	0301	Oslo
Andreassen Ingvarda 	DEMN	19	Female	Norsk		1930	No	Oslo	0301	Oslo
Reidulff Ove	DEMN	20	Male	Norsk		1924	No	Oslo	0301	Oslo
Tesdal Leif Harald	DEMN	21	Male	Norsk		1929	No	Oslo	0301	Oslo
Nistad Johan Ludvig	DEMN	22	Male	Norsk		1945	No	Oslo	0301	Oslo
Nielsen Tore 	DEMN	23	Male	Norsk		1956	No	Oslo	0301	Oslo
Jacobsen Christoffer S.	DEMN	24	Male	Norsk		1987	No	Oslo	0301	Oslo
Semcesen Fredrik	DEMN	25	Male	Norsk		1978	No	Oslo	0301	Oslo
Smith Fredrik	DEMN	26	Male	Norsk		1991	No	Oslo	0301	Oslo
Frydenlund Didrik 	DEMN	27	Male	Norsk		1982	No	Oslo	0301	Oslo
Styhr Arne	DEMN	28	Male	Norsk		1927	No	Oslo	0301	Oslo
Martinsen Vegard	DLF	1	Male	Norsk		1955	No	Oslo	0301	Oslo
Johanson Thomas M.	DLF	2	Male	Norsk		1978	No	Oslo	0301	Oslo
Moen Ole Martin	DLF	3	Male	Norsk		1985	No	Oslo	0301	Oslo
Meyer Fredrik	DLF	4	Male	Norsk		1989	No	Oslo	0301	Oslo
Johansen Ken-Gjøran 	DLF	5	Male	Norsk		1977	No	Oslo	0301	Oslo
Brunsell Jarle	DLF	6	Male	Norsk		1965	No	Oslo	0301	Oslo
Johansen Martin Fagereng	DLF	7	Male	Norsk		1984	No	Oslo	0301	Oslo
Salberg Gunnar Moen	DLF	8	Male	Norsk		1938	No	Oslo	0301	Oslo
Aabø Tore	DLF	9	Male	Norsk		1973	No	Oslo	0301	Oslo
Andreassen Richard	DLF	10	Male	Norsk		1982	No	Oslo	0301	Oslo
Hagen Carl I. 	FRP	1	Male	Norsk		1944	Yes	Oslo	0301	Oslo
Sjøtveit Øystein G. 	FRP	2	Male	Norsk		1961	Yes	Oslo	0301	Oslo
Gundelach Christel 	FRP	3	Female	Norsk		1961	Yes	Oslo	0301	Oslo
Kallmyr Jøran 	FRP	4	Male	Norsk		1978	Yes	Oslo	0301	Oslo
Wilhelmsen Camilla 	FRP	5	Female	Norsk		1959	Yes	Oslo	0301	Oslo
Keshvari Mazyar	FRP	6	Male	Non	Persian	1981	Yes	Oslo	0301	Oslo
Brein Cecilie	FRP	7	Female	Norsk		1982	Yes	Oslo	0301	Oslo
Stenersen Aina 	FRP	8	Female	Norsk		1983	Yes	Oslo	0301	Oslo
Holstad Henning	FRP	9	Male	Norsk		1951	Yes	Oslo	0301	Oslo
Nordli Marianne	FRP	10	Female	Norsk		1963	Yes	Oslo	0301	Oslo
Tank-Nielsen Jan 	FRP	11	Male	Norsk		1949	No	Oslo	0301	Oslo
Knudsen Eivind	FRP	12	Male	Norsk		1979	No	Oslo	0301	Oslo
Tybring-Gjedde Ingvil 	FRP	13	Female	Norsk		1965	No	Oslo	0301	Oslo
Riis Berit Jensen	FRP	14	Female	Norsk		1944	No	Oslo	0301	Oslo
Henrichsen Hans Høegh	FRP	15	Male	Norsk		1925	No	Oslo	0301	Oslo
Lønnum Liv 	FRP	16	Female	Norsk		1974	No	Oslo	0301	Oslo
Johansen Kjell	FRP	17	Male	Norsk		1967	No	Oslo	0301	Oslo
Skailand Solfrid	FRP	18	Female	Norsk		1967	No	Oslo	0301	Oslo
Lauritzen Terje	FRP	19	Male	Norsk		1960	No	Oslo	0301	Oslo
Hammerø Roy	FRP	20	Male	Norsk		1980	No	Oslo	0301	Oslo
Gustafson Cecilie 	FRP	21	Female	Norsk		1969	No	Oslo	0301	Oslo
Andersen Kent 	FRP	22	Male	Norsk		1962	No	Oslo	0301	Oslo
Kjøllesdal Ada Molne	FRP	23	Female	Norsk		1987	No	Oslo	0301	Oslo
Upadhyay Ombir 	FRP	24	Male	Non	Indian	1957	No	Oslo	0301	Oslo
Larsen Tom H. 	FRP	25	Male	Norsk		1949	No	Oslo	0301	Oslo
Skjervold Tommy 	FRP	26	Male	Norsk		1982	No	Oslo	0301	Oslo
Elseth Ann 	FRP	27	Female	Norsk		1946	No	Oslo	0301	Oslo
Larssen Tone E. Ims	FRP	28	Female	Norsk		1963	No	Oslo	0301	Oslo
Norheim Kristian	FRP	29	Male	Norsk		1976	No	Oslo	0301	Oslo
Sander Henrik	FRP	30	Male	Norsk		1988	No	Oslo	0301	Oslo
Baklien Brage	FRP	31	Male	Norsk		1978	No	Oslo	0301	Oslo
Komperud Nils-Petter 	FRP	32	Male	Norsk		1974	No	Oslo	0301	Oslo
Kvalheim Erling 	FRP	33	Male	Norsk		1969	No	Oslo	0301	Oslo
Karlsen Vidar	FRP	34	Male	Norsk		1981	No	Oslo	0301	Oslo
Hagen Fredrik Juel	FRP	35	Male	Norsk		1993	No	Oslo	0301	Oslo
Idland Elisabeth	FRP	36	Female	Norsk		1973	No	Oslo	0301	Oslo
Dedichen Jens	FRP	37	Male	Norsk		1936	No	Oslo	0301	Oslo
Linja Jan-Arild	FRP	38	Male	Norsk		1964	No	Oslo	0301	Oslo
Larsen Tore Andreas	FRP	39	Male	Norsk		1972	No	Oslo	0301	Oslo
Hansen Jan-Vidar	FRP	40	Male	Norsk		1959	No	Oslo	0301	Oslo
Øvsthun Tore-Jan 	FRP	41	Male	Norsk		1945	No	Oslo	0301	Oslo
Østhell Grethe	FRP	42	Female	Norsk		1951	No	Oslo	0301	Oslo
Kjølstad Christer 	FRP	43	Male	Norsk		1987	No	Oslo	0301	Oslo
Wennerstrøm Robert	FRP	44	Male	Norsk		1985	No	Oslo	0301	Oslo
Overdale Thomas H.	FRP	45	Male	Norsk		1971	No	Oslo	0301	Oslo
Watne Hans Otto	FRP	46	Male	Norsk		1970	No	Oslo	0301	Oslo
Padoin Remi 	FRP	47	Male	Non	Spanish	1972	No	Oslo	0301	Oslo
Aspli Karoline 	FRP	48	Female	Norsk		1992	No	Oslo	0301	Oslo
Løken Tor 	FRP	49	Male	Norsk		1936	No	Oslo	0301	Oslo
Lange Jens E.	FRP	50	Male	Norsk		1956	No	Oslo	0301	Oslo
Gjerding Henrik	FRP	51	Male	Norsk		1973	No	Oslo	0301	Oslo
Hjelmerud Trond 	FRP	52	Male	Norsk		1948	No	Oslo	0301	Oslo
Stang Fabian	H	1	Male	Non	German	1955	Yes	Oslo	0301	Oslo
Røsland Stian Berger	H	2	Male	Norsk		1976	Yes	Oslo	0301	Oslo
Vinje Kristin	H	3	Female	Norsk		1963	Yes	Oslo	0301	Oslo
Fredriksen Bård Folke	H	4	Male	Norsk		1967	Yes	Oslo	0301	Oslo
Begum Saeeda	H	5	Female	Norsk		1987	Yes	Oslo	0301	Oslo
Solberg Eirik Lae	H	6	Male	Norsk		1971	Yes	Oslo	0301	Oslo
Høegh Annelise	H	7	Female	Norsk		1948	Yes	Oslo	0301	Oslo
Kapur Mudassar 	H	8	Male	Non	Indian	1976	Yes	Oslo	0301	Oslo
Hauglie Anniken	H	9	Female	Norsk		1972	Yes	Oslo	0301	Oslo
Sundelin Øystein R.	H	10	Male	Norsk		1985	Yes	Oslo	0301	Oslo
Arakia Yassine	H	11	Male	Non	Arabic	1966	No	Oslo	0301	Oslo
Aslaksen Aslak	H	12	Male	Norsk		1959	No	Oslo	0301	Oslo
Bakke Morten 	H	13	Male	Norsk		1973	No	Oslo	0301	Oslo
Bartinlioglu Mertefe	H	14	Male	Non	Turkish	1968	No	Oslo	0301	Oslo
Bastiansen Carl-Henrik	H	15	Male	Norsk		1982	No	Oslo	0301	Oslo
Berg-Johnsen Ida K.	H	16	Female	Norsk		1986	No	Oslo	0301	Oslo
Blich Carl Christian	H	17	Male	Norsk		1959	No	Oslo	0301	Oslo
Bøe Mariette C	H	18	Female	Norsk		1984	No	Oslo	0301	Oslo
Christiansen Per H.	H	19	Male	Norsk		1945	No	Oslo	0301	Oslo
Dahl Trine Nicolaysen	H	20	Female	Norsk		1968	No	Oslo	0301	Oslo
Djupvik Mari Berdal	H	21	Female	Norsk		1985	No	Oslo	0301	Oslo
Dupont Maria Angel	H	22	Female	Norsk		1970	No	Oslo	0301	Oslo
Erichsen Kjell Omdal	H	23	Male	Norsk		1978	No	Oslo	0301	Oslo
Farstad Pia	H	24	Female	Norsk		1967	No	Oslo	0301	Oslo
Fridstrøm Aksel	H	25	Male	Norsk		1986	No	Oslo	0301	Oslo
Frisch Jo	H	26	Male	Norsk		1941	No	Oslo	0301	Oslo
Furulund Torbjørn	H	27	Male	Norsk		1972	No	Oslo	0301	Oslo
Gustavsen Kristoffer 	H	28	Male	Norsk		1991	No	Oslo	0301	Oslo
Göthner Maria K.	H	29	Female	Norsk		1990	No	Oslo	0301	Oslo
Hagen Ståle	H	30	Male	Norsk		1968	No	Oslo	0301	Oslo
Heggelund Stefan 	H	31	Male	Norsk		1984	No	Oslo	0301	Oslo
Hoff Per-Trygve 	H	32	Male	Norsk		1954	No	Oslo	0301	Oslo
Koc Gülsüm	H	33	Female	Non	Turkish	1987	No	Oslo	0301	Oslo
Kollerøy Eirik	H	34	Male	Norsk		1978	No	Oslo	0301	Oslo
Kopp Hermann 	H	35	Male	Norsk		1936	No	Oslo	0301	Oslo
Kvisgaard Ola	H	36	Male	Norsk		1963	No	Oslo	0301	Oslo
Stove Lorentzen James	H	37	Male	Norsk		1957	No	Oslo	0301	Oslo
Lundesgaard Erik	H	38	Male	Norsk		1980	No	Oslo	0301	Oslo
Lægdene Øystein Andre 	H	39	Male	Norsk		1975	No	Oslo	0301	Oslo
Malthe-Sørenssen Maren 	H	40	Female	Norsk		1971	No	Oslo	0301	Oslo
Mamre Mari O.	H	41	Female	Norsk		1984	No	Oslo	0301	Oslo
Nielsen Kate Hege	H	42	Female	Norsk		1957	No	Oslo	0301	Oslo
Norenberg John Tore	H	43	Male	Norsk		1941	No	Oslo	0301	Oslo
Omollo John Olala	H	44	Male	Non	Kenyan	1977	No	Oslo	0301	Oslo
Rana Shahzad 	H	45	Male	Non	Persian	1967	No	Oslo	0301	Oslo
Remen Julie Midtgarden	H	46	Female	Norsk		1984	No	Oslo	0301	Oslo
Sadlowska Aga 	H	47	Female	Non	West Slavic	1980	No	Oslo	0301	Oslo
Schjerven Thea K. 	H	48	Female	Norsk		1978	No	Oslo	0301	Oslo
Skevik Camilla Roede	H	49	Female	Norsk		1973	No	Oslo	0301	Oslo
Skjærpe Line Weber	H	50	Female	Norsk		1978	No	Oslo	0301	Oslo
Smith-Sivertsen Hermann	H	51	Male	Norsk		1962	No	Oslo	0301	Oslo
Solli Berit	H	52	Female	Norsk		1972	No	Oslo	0301	Oslo
Sollie Peter Nils	H	53	Male	Norsk		1950	No	Oslo	0301	Oslo
Strandskog Andreas 	H	54	Male	Norsk		1987	No	Oslo	0301	Oslo
Strandskog Camilla 	H	55	Female	Norsk		1984	No	Oslo	0301	Oslo
Stylo Edyta 	H	56	Female	Non	West Slavic	1961	No	Oslo	0301	Oslo
Sølsnæs Torbjørn 	H	57	Male	Norsk		1975	No	Oslo	0301	Oslo
Søreide Øystein Eriksen	H	58	Male	Norsk		1969	No	Oslo	0301	Oslo
Tandberg Øivind A. 	H	59	Male	Norsk		1967	No	Oslo	0301	Oslo
Teien Brit	H	60	Female	Norsk		1945	No	Oslo	0301	Oslo
Ulstein Nina Stanghov	H	61	Female	Norsk		1979	No	Oslo	0301	Oslo
Voldberg Julie Brodtkorb	H	62	Female	Norsk		1974	No	Oslo	0301	Oslo
Whist Jon Ole	H	63	Male	Norsk		1976	No	Oslo	0301	Oslo
Wilsgaard Sara V. 	H	64	Female	Norsk		1987	No	Oslo	0301	Oslo
Aale-Hansen Rune	H	65	Male	Norsk		1970	No	Oslo	0301	Oslo
Kvalbein Aud 	KRF	1	Female	Norsk		1948	Yes	Oslo	0301	Oslo
Lunde Erik	KRF	2	Male	Norsk		1979	Yes	Oslo	0301	Oslo
Minos Oddbjørg 	KRF	3	Female	Norsk		1968	No	Oslo	0301	Oslo
Grimdalen May 	KRF	4	Female	Norsk		1941	No	Oslo	0301	Oslo
Hegstad Eilev	KRF	5	Male	Norsk		1991	No	Oslo	0301	Oslo
Farner-Calvert Silje H	KRF	6	Female	Norsk		1978	No	Oslo	0301	Oslo
Brækken Gaute	KRF	7	Male	Norsk		1979	No	Oslo	0301	Oslo
Setvik Ingrid Eiane	KRF	8	Female	Norsk		1982	No	Oslo	0301	Oslo
Brænden Haakon	KRF	9	Male	Norsk		1966	No	Oslo	0301	Oslo
Hodnebrug Hanne	KRF	10	Female	Norsk		1956	No	Oslo	0301	Oslo
Andersen Morten Dahle	KRF	11	Male	Norsk		1980	No	Oslo	0301	Oslo
Langnes Lilly Kristin	KRF	12	Female	Norsk		1973	No	Oslo	0301	Oslo
Woldsund Frode 	KRF	13	Male	Norsk		1964	No	Oslo	0301	Oslo
Tollefsen-Minos Benedikte 	KRF	14	Female	Norsk		1966	No	Oslo	0301	Oslo
Prestegård Gunnar	KRF	15	Male	Norsk		1935	No	Oslo	0301	Oslo
Røng Ann-Mari	KRF	16	Female	Norsk		1977	No	Oslo	0301	Oslo
Henriksbø Sturla	KRF	17	Male	Norsk		1979	No	Oslo	0301	Oslo
Wright Marit Momrak	KRF	18	Female	Norsk		1968	No	Oslo	0301	Oslo
Sbertoli Per Kristian	KRF	19	Male	Non	Argentinian	1978	No	Oslo	0301	Oslo
Høvset Mona	KRF	20	Female	Norsk		1973	No	Oslo	0301	Oslo
Hatlehol Oddvar 	KRF	21	Male	Norsk		1951	No	Oslo	0301	Oslo
Sveinsdotter Ruth I	KRF	22	Female	Norsk		1981	No	Oslo	0301	Oslo
Opsjøn Hartvig	KRF	23	Male	Norsk		1950	No	Oslo	0301	Oslo
Østby Vibecke	KRF	24	Female	Norsk		1966	No	Oslo	0301	Oslo
Vefring Sigmund	KRF	25	Male	Norsk		1985	No	Oslo	0301	Oslo
Gårdsvoll Sigrid Rege	KRF	26	Female	Norsk		1987	No	Oslo	0301	Oslo
Vatnar Sverre	KRF	27	Male	Norsk		1975	No	Oslo	0301	Oslo
Berthelsen Karoline	KRF	28	Female	Norsk		1980	No	Oslo	0301	Oslo
Calvert Sarah Christin	KRF	29	Female	Norsk		1990	No	Oslo	0301	Oslo
Erlandsen Robert 	KRF	30	Male	Norsk		1955	No	Oslo	0301	Oslo
Fidje Odd 	KRF	31	Male	Norsk		1977	No	Oslo	0301	Oslo
Fikseaunet Torhild Holen	KRF	32	Female	Norsk		1981	No	Oslo	0301	Oslo
Gjerull Petter	KRF	33	Male	Norsk		1942	No	Oslo	0301	Oslo
Gårdsvoll Helge Rege	KRF	34	Male	Norsk		1985	No	Oslo	0301	Oslo
Hauge Kåre Rune	KRF	35	Male	Norsk		1958	No	Oslo	0301	Oslo
Heggemsnes Nils	KRF	36	Male	Norsk		1930	No	Oslo	0301	Oslo
Holm Vegard	KRF	37	Male	Norsk		1974	No	Oslo	0301	Oslo
Honningsvåg Jørgen	KRF	38	Male	Norsk		1986	No	Oslo	0301	Oslo
Hübert Anne Louise	KRF	39	Female	Norsk		1989	No	Oslo	0301	Oslo
Kraglund Ivar Dyb	KRF	40	Male	Norsk		1950	No	Oslo	0301	Oslo
Kvalvaag Gunnar	KRF	41	Male	Norsk		1947	No	Oslo	0301	Oslo
Løland Andreas Haug	KRF	42	Male	Norsk		1985	No	Oslo	0301	Oslo
Makosir Fredrick  Otieno	KRF	43	Male	Non	Kenyan	1968	No	Oslo	0301	Oslo
Ma Anita 	KRF	44	Female	Norsk		1961	No	Oslo	0301	Oslo
Magnus Andreas 	KRF	45	Male	Norsk		1977	No	Oslo	0301	Oslo
Olsen Gunnar Rein	KRF	46	Male	Norsk		1956	No	Oslo	0301	Oslo
Sahl Christoffer	KRF	47	Male	Norsk		1976	No	Oslo	0301	Oslo
Storebø Axel	KRF	48	Male	Norsk		1993	No	Oslo	0301	Oslo
Syversen Morten	KRF	49	Male	Norsk		1944	No	Oslo	0301	Oslo
Sølvsberg Gyro	KRF	50	Female	Norsk		1956	No	Oslo	0301	Oslo
Sørås Gunnhild	KRF	51	Female	Norsk		1980	No	Oslo	0301	Oslo
Torvik Grethe	KRF	52	Female	Norsk		1946	No	Oslo	0301	Oslo
Wright Robert	KRF	53	Male	Norsk		1954	No	Oslo	0301	Oslo
Øgaard Per Roar	KRF	54	Male	Norsk		1957	No	Oslo	0301	Oslo
Østerberg Abel Ole 	KRF	55	Male	Norsk		1935	No	Oslo	0301	Oslo
Tanem Magnar	KSP	1	Male	Norsk		1968	Yes	Oslo	0301	Oslo
Gamlem Anne-Liv 	KSP	2	Female	Norsk		1960	Yes	Oslo	0301	Oslo
Sandvik Hallvard 	KSP	3	Male	Norsk		1959	Yes	Oslo	0301	Oslo
Gill Beatrice Solomon	KSP	4	Female	Norsk		1951	Yes	Oslo	0301	Oslo
Knoph Christopher	KSP	5	Male	Norsk		1969	No	Oslo	0301	Oslo
Ingebrigtsen Torgeir	KSP	6	Male	Norsk		1967	No	Oslo	0301	Oslo
Enebakk Knut  	KSP	7	Male	Norsk		1947	No	Oslo	0301	Oslo
Prasannet Payao	KSP	8	Female	Non	Indian	1974	No	Oslo	0301	Oslo
Helliesen Torhild	KYST	1	Female	Norsk		1942	No	Oslo	0301	Oslo
Borch Bjørn Christian	KYST	2	Male	Norsk		1945	No	Oslo	0301	Oslo
Nygaard Huaytacha 	KYST	3	Female	Non	Indian	1976	No	Oslo	0301	Oslo
Tresmark Tressy	KYST	4	Male	Norsk		1976	No	Oslo	0301	Oslo
Andersen Ellen Marie	KYST	5	Female	Norsk		1947	No	Oslo	0301	Oslo
Dyrø Monica  	KYST	6	Female	Norsk		1976	No	Oslo	0301	Oslo
Fagerheim William 	KYST	7	Male	Norsk		1980	No	Oslo	0301	Oslo
Flæsen Per Arne	KYST	8	Male	Norsk		1975	No	Oslo	0301	Oslo
Gausen Andrè	KYST	9	Male	Norsk		1971	No	Oslo	0301	Oslo
Gjertsen Erik Ravnsborg	KYST	10	Male	Norsk		1946	No	Oslo	0301	Oslo
Hanseth Christian  	KYST	11	Male	Norsk		1984	No	Oslo	0301	Oslo
Jønland Wenche O.	KYST	12	Female	Norsk		1951	No	Oslo	0301	Oslo
Kandal Tom	KYST	13	Male	Norsk		1963	No	Oslo	0301	Oslo
Kristoffersen Harald	KYST	14	Male	Norsk		1951	No	Oslo	0301	Oslo
Kristoffersen Yvonne 	KYST	15	Female	Norsk		1957	No	Oslo	0301	Oslo
Laache Axel Stang	KYST	16	Male	Non	German	1983	No	Oslo	0301	Oslo
Rødseth Mark 	KYST	17	Male	Norsk		1955	No	Oslo	0301	Oslo
Slette Karl Jørgen	KYST	18	Male	Norsk		1947	No	Oslo	0301	Oslo
Torhaug Harald Olav	KYST	19	Male	Norsk		1942	No	Oslo	0301	Oslo
With Bente Schjelderup	KYST	20	Female	Norsk		1959	No	Oslo	0301	Oslo
Nissen Harald August	MDG	1	Male	Norsk		1963	Yes	Oslo	0301	Oslo
Marcussen Hanna Elise 	MDG	2	Female	Norsk		1977	Yes	Oslo	0301	Oslo
Sultan  Shoaib	MDG	3	Male	Non	Arabic	1973	Yes	Oslo	0301	Oslo
Flaatin Cecilie	MDG	4	Female	Norsk		1975	Yes	Oslo	0301	Oslo
Grorud Christian  	MDG	5	Male	Norsk		1957	Yes	Oslo	0301	Oslo
Dessau Nina 	MDG	6	Female	Norsk		1950	Yes	Oslo	0301	Oslo
Fagerheim Jarle	MDG	7	Male	Norsk		1989	Yes	Oslo	0301	Oslo
Ruohonen Tiina Johanna	MDG	8	Female	Non	Finnish	1981	No	Oslo	0301	Oslo
Buchanan Sindre	MDG	9	Male	Norsk		1982	No	Oslo	0301	Oslo
Valler Margrethe	MDG	10	Female	Norsk		1977	No	Oslo	0301	Oslo
Qvigstad Knut Falk	MDG	11	Male	Norsk		1988	No	Oslo	0301	Oslo
Midtbø Astrid	MDG	12	Female	Norsk		1974	No	Oslo	0301	Oslo
Sahlstrøm Patrik 	MDG	13	Male	Norsk		1975	No	Oslo	0301	Oslo
Braarud Elisabeth	MDG	14	Female	Norsk		1989	No	Oslo	0301	Oslo
Henriksen Elray 	MDG	15	Male	Norsk		1977	No	Oslo	0301	Oslo
Reite Alice	MDG	16	Female	Norsk		1944	No	Oslo	0301	Oslo
Lanser Svein 	MDG	17	Male	Norsk		1936	No	Oslo	0301	Oslo
Hald Ida Beth 	MDG	18	Female	Norsk		1958	No	Oslo	0301	Oslo
Imenes Anders 	MDG	19	Male	Norsk		1982	No	Oslo	0301	Oslo
Selsø Katrine	MDG	20	Female	Norsk		1983	No	Oslo	0301	Oslo
